,No,time,Ts,Tm,Tb,ufr_a,ufr_w,Wconv,Qw,Q_se,Q_la,I_w,Q_lwa,Q_lww,h_ML,C_T,H_B1,T_B1,Qbot,H_ice,H_snow,T_ice,T_snow
count,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0
mean,3104.5,3104.5,10.680272420173084,10.680272420173084,6.486582148739454,0.13678547032506466,0.004828824422673705,0.0021616145235380225,-102.39086840017058,-12.329828755600465,-51.055273190477166,101.97392934541062,0.0,-364.7021055567552,3.439672628626914,0.5878361212561398,3.436751857696809,4.596045592949572,-0.1284720095331976,0.025758580020191213,0.0,-0.33442708871908255,-0.33442708871908255
std,1792.8169175908622,1792.8169175908622,8.05834508102203,8.05834508102203,4.414310905714314,0.10789783759155562,0.0038147892858649258,0.0021635848501993546,94.41247442366576,23.998255917985592,52.609778300936576,87.64580289523504,0.0,44.617426114441606,2.1920895894959758,0.11980545458114793,1.6319147250423376,1.2141134783197913,4.971633128002512,0.09482716743280974,0.0,2.6161067400570723,2.6161067400570723
min,0.0,0.0,0.0,0.0,0.0,0.0,2.652349645517217e-05,0.0,-625.2215144942522,-190.74763352755792,-417.3308699888072,0.0,0.0,-474.8289419836043,0.0,0.5,0.001336219977048636,1.5119722132353104,-251.6055091310172,0.0,0.0,-67.87078229982541,-67.87078229982541
25%,1552.25,1552.25,2.9601436598148894,2.9601436598148894,2.9683781287753277,0.062411064378463055,0.002183312204804631,0.0,-164.54830585213762,-23.970049495178134,-76.33192030297243,22.388913,0.0,-404.21714035770214,1.6028412078425431,0.5,2.004821426235108,4.0,-1.3666264397739905,0.0,0.0,0.0,0.0
50%,3104.5,3104.5,9.859150454139467,9.859150454139467,5.8118544799443725,0.1193663220042015,0.00417057164087597,0.0020323572497370455,-96.008147133804,-9.1541709576052,-36.5713116584149,82.558983,0.0,-360.09754839791606,2.817098648946285,0.5,3.7057505951675647,4.0,0.5880406039007524,0.0,0.0,0.0,0.0
75%,4656.75,4656.75,18.15579080275485,18.15579080275485,9.029842774396357,0.19286907643974444,0.006755194922493972,0.003945723292287631,-22.146210136944283,0.046641335834437005,-10.885496805554748,169.39668675000001,0.0,-326.2494645344766,5.9,0.6971987481068008,5.0,5.2314435015718885,1.249633876457304,0.0,0.0,0.0,0.0
max,6209.0,6209.0,30.120196197952566,30.120196197952566,21.15211682665654,1.1039214239973774,0.03933532654239325,0.010790439182217636,216.07726435742651,171.50926989038976,68.37573168237384,340.03125,0.0,-99.67774155275457,5.9,0.8,5.0,10.452912946678111,20.062351054728566,0.7216394285246603,0.0,0.0,0.0
