variable,test_mean,excel_mean,test_std,excel_std,mean_diff,abs_mean_diff,max_diff,rmse,correlation,rel_diff_pct,assessment
C_T,0.5872589466988728,0.5878361212561398,0.10083430582392487,0.11979580802091802,-0.0005771745572670122,0.053979141634137175,0.30000000000000004,0.09460452660636445,0.6444337325000798,9.191710392420111,Very Good
H_B1,3.130211225909823,3.4367518576968084,1.5329724435129726,1.6317833256520489,-0.30654063178698576,0.9694275746889403,4.9441144,1.592629143483012,0.5137402784952153,30.97003699509664,Fair
H_ice,0.04539712134347826,0.025758580020191213,0.13322215457228917,0.09481953208778084,0.019638541323287045,0.01974245278364582,0.41117271759110724,0.060278790142718704,0.9298175241893808,43.488336263158274,Very Good
H_snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Excellent
I_w,98.19535281964572,101.97392934541062,89.7703049721892,87.6387457831905,-3.7785765257648936,3.7786925241545903,245.416677,19.447292925033974,0.9771603081007463,3.8481378350917197,Poor
Q_la,-37.73029202945083,-51.05527319047716,45.72936890186412,52.60554223842309,13.32498116102633,15.11458527260683,345.1891699888072,25.05373538779053,0.9162683491786592,40.059550190623916,Poor
Q_lwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Excellent
Q_lww,-357.2815463768116,-364.70210555675527,43.68977953446218,44.61383358445354,7.420559179943684,8.48195664789132,177.42160939044427,12.080392021347551,0.9769087961126244,2.374025956254039,Poor
Q_se,-6.102993074965379,-12.329828755600465,22.601707863250525,23.996323613467947,6.2268356806350855,8.896351944875429,172.32773352755788,14.05563821307466,0.8554067977812816,145.7703103313106,Poor
Qbot,-0.06005714354589368,-0.12847200953319762,2.721557751475229,4.971232819363995,0.06841486598730391,1.2273871727456496,251.58430173101718,5.087010935126756,0.230867140882899,2043.6988845593714,Fair
Qw,-98.450957886533,-102.39086840017058,88.70715767576566,94.40487246911229,3.9399105136375665,23.533247370385844,511.38351449425227,37.84371542998752,0.9173575451652974,23.903523008388046,Poor
T_B1,4.328099076006442,4.596045592949572,1.0807409285707612,1.2140157196757004,-0.2679465169431313,0.6142695867019813,6.7951859251116336,1.07464628092693,0.5940253405437972,14.192595315280323,Fair
T_ice,-0.4995951734164251,-0.33442708871908267,3.092168942225206,2.6158960949631234,-0.16516808469734254,0.6109709643658272,67.87078229982541,3.638622699946723,0.19731785844614683,122.29320795630818,Fair
T_snow,-0.4995951734164251,-0.33442708871908267,3.092168942225206,2.6158960949631234,-0.16516808469734254,0.6109709643658272,67.87078229982541,3.638622699946723,0.19731785844614683,122.29320795630818,Fair
Tb,5.34092187905475,6.486582148739454,3.2825289936532536,4.41395547184718,-1.1456602696847027,2.325783031746434,14.834666826656537,3.447781569081418,0.6792540909335473,43.546471646914576,Fair
Tm,8.53888283831401,10.680272420173084,6.625799739541199,8.057696234845125,-2.1413895818590767,2.2996137540336115,15.599054649807591,3.0987651838952344,0.9722181868827282,26.93108451746443,Fair
Ts,9.389670096111917,10.680272420173084,7.762396318144827,8.057696234845125,-1.2906023240611701,1.4959071095571619,15.02569619795257,2.053292016616544,0.9803096034826548,15.931412863765985,Fair
Wconv,0.0025173591495974237,0.0021616145235380225,0.0026350757813507083,0.00216341064150708,0.00035574462605940073,0.0010964391534043988,0.00639201,0.0016211711940602113,0.8000988113045614,43.555134100739714,Excellent
h_ML,4.424180096586151,3.439672628626914,1.6241493191034087,2.1919130856437237,0.9845074679592375,1.8929135433797364,5.9,2.5687839025452184,0.2546279752316679,42.78563489855156,Fair
ufr_a,0.12410799561191627,0.13678547032506466,0.11218353653356557,0.10788914981525492,-0.012677474713148396,0.01570042528704501,0.4121680322143885,0.049163070128725894,0.9075528421610122,12.650615465694887,Very Good
ufr_w,0.004369433880048309,0.004828824422673705,0.003937381813268883,0.003814482124603035,-0.00045939054262539465,0.0005621154662153865,0.01458475241948565,0.0017204203242956787,0.9089923136055501,12.864720731491458,Excellent
